_id,userId,fileName,gender,devnagariSentence
60e2d811552fd6002e30b8fd,L5WMnUqwFRlZUFg48A4DRu9dYwP9srB5s2cqsA/rDZg=,dd42d217-11b5-4107-b8c5-8c60939db63c,male,"रोमान्चक बनेको खेलमा बुलबुलेले आर्मीलाई विस-पच्चिस, पच्चिस-एक्काइस, पच्चिस-उन्नाइस, पच्चिस-तेईस ले हरायो"
60e2d964552fd6002e30b901,4UO9IETvAMYKoPU5GhL4DRjqb5rNgF1FpAKkyXQ9v/c=,744f492e-8e7f-4a1e-a13e-d65a0f0716c4,male,आईसीसी महिला टी-विस विश्वकपको एसिया छनोट एक महिना पछि सरेको छ
61ab150e7526df002f75e921,3upRZGf2oFJMajP1LMVx5vNAMKY+PdM+rIdTvmQHUus=,cfea7257-9d98-481b-a4b2-aa8da3132cca,female,आईसीसी महिला टी-विस विश्वकपको एसिया छनोट एक महिना पछि सरेको छ
60e2d958552fd6002e30b8fe,zcRQLjrvRyhg0PDjjhxlGJ1PoM7deRWnvlx08Ja1Wl4=,95ccf7f4-b198-4623-bcf8-45deb7f914e7,male,"कार्यक्रममा राष्ट्रिय क्रिकेट टोलीका सदस्यहरुमा पूर्व कप्तान पारस खड्का, क्याप्टेन ज्ञानेन्द्र मल्ल, खेलाडीहरु सन्दिप लामिछाने, सोमपाल कामी, विनोद भण्डारी, आरिफ शेख, करण के.सी., सुशन भारी, अविनाश बोहोरा, कमल सिंह ऐरी, ललित नारायण राजवंशी, लोकेश बहादुर बम, कुशल मल्ल, सन्दिप जोरा, दिपेन्द सिंह ऐरी, कुशल भुर्तेल, असिफ शेख, शाहव आलम, पवन शराफ लगायतले चीन सरकारबाट प्राप्त भेरो सेल खोप लगाएका हुन"
60e2d98b552fd6002e30b903,4UO9IETvAMYKoPU5GhL4DRjqb5rNgF1FpAKkyXQ9v/c=,1ad1149b-be62-4099-8356-0e7c5f892374,male,तर त्यसपछि म रियल मड्रिडका लागि धेरै राम्रो गर्न जादैछु
60e2d9e1552fd6002e30b908,4UO9IETvAMYKoPU5GhL4DRjqb5rNgF1FpAKkyXQ9v/c=,a3ef5362-a8c3-4084-a2cd-fe867fa3abe2,male,त्रिकोणात्मक टी–विस सिरिजअन्तर्गत अहिले भइरहेको खेलमा नेदरल्याण्ड्सले मलेसियालाई एक सय विस रनको लक्ष्य दिएको छ
60e2da3b552fd6002e30b90e,AQlXVIDu9XA6enGLCiXEEjRXZf4VgjHamilk51AKES8=,9904214d-d638-428d-a9fc-419d970d12c8,male,‘हाम्रो तयारी राम्रो छ’ उनले भने
60e2da72552fd6002e30b910,0RaRLhq3Za5Ab8McTpdIOFxAtLkyFAhX1a1UV1H2iSM=,30c8aa96-bdbd-4901-b0e5-28649bdd1cd9,male,चाइनिज ताइपेईविरुद्धको खेलमा गोल गरेका अन्जन विष्टले आफूहरुको लक्ष्य गोल गर्ने भन्दा पनि खेल जित्ने हुने बताए
60e2db82552fd6002e30b917,0RaRLhq3Za5Ab8McTpdIOFxAtLkyFAhX1a1UV1H2iSM=,3ed77dcb-3223-422d-b2c1-1515b70aebf9,male,अब नेपालले खेल्ने अर्को अन्तर्राष्ट्रिय प्रतियोगिता विश्वकप लिग दुई अन्तर्गत स्कटल्याण्डमा हुने सिरिज नै हो
60e2dcc0552fd6002e30b920,AQlXVIDu9XA6enGLCiXEEjRXZf4VgjHamilk51AKES8=,07fe0237-b57f-4031-a42b-4b6412266e68,male,छनोटमा बेल्जियमका रोमेलु लुकाकुले सात गोल गरेका थिए भने इटलीका आन्द्रे बालोट्टीले चार गोल गरेका थिए
